route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"2-ain-B-mjp-1","","Flemington","Flinders Street","2","0072CE","FFFFFF"
"2-ain-C-mjp-1","","Flemington","Showgrounds/Flemington - Flinders Street","2","0072CE","FFFFFF"
"2-ain-D-mjp-1","","Flemington","Showgrounds/Flemington - Flinders Street","2","0072CE","FFFFFF"
"2-ain-E-mjp-1","","Flemington","Showgrounds/Flemington - Flinders Street","2","0072CE","FFFFFF"
"2-ain-F-mjp-1","","Flemington","Flinders Street","2","0072CE","FFFFFF"
"2-ALM-A-mjp-1","","Alamein","City (Flinders Street) - Alamein","2","0072CE","FFFFFF"
"2-ALM-B-mjp-1","","Alamein","City (Flinders Street) - Alamein","2","0072CE","FFFFFF"
"2-ALM-C-mjp-1","","Alamein","City (Flinders Street) - Alamein","2","0072CE","FFFFFF"
"2-ALM-D-mjp-1","","Alamein","City (Flinders Street) - Alamein","2","0072CE","FFFFFF"
"2-ALM-E-mjp-1","","Alamein","City (Flinders Street) - Alamein","2","0072CE","FFFFFF"
"2-ALM-F-mjp-1","","Alamein","City (Flinders Street) - Alamein","2","0072CE","FFFFFF"
"2-ALM-G-mjp-1","","Alamein","City (Flinders Street) - Alamein","2","0072CE","FFFFFF"
"2-B31-A-mjp-1","","Craigieburn","City (Flinders Street) - Craigieburn","2","0072CE","FFFFFF"
"2-B31-B-mjp-1","","Craigieburn","City (Flinders Street) - Craigieburn","2","0072CE","FFFFFF"
"2-B31-C-mjp-1","","Craigieburn","City (Flinders Street) - Craigieburn","2","0072CE","FFFFFF"
"2-B31-D-mjp-1","","Craigieburn","City (Flinders Street) - Craigieburn","2","0072CE","FFFFFF"
"2-B31-E-mjp-1","","Craigieburn","City (Flinders Street) - Craigieburn","2","0072CE","FFFFFF"
"2-B31-F-mjp-1","","Craigieburn","City (Flinders Street) - Craigieburn","2","0072CE","FFFFFF"
"2-B31-G-mjp-1","","Craigieburn","City (Flinders Street) - Craigieburn","2","0072CE","FFFFFF"
"2-B31-H-mjp-1","","Craigieburn","City (Flinders Street) - Craigieburn","2","0072CE","FFFFFF"
"2-BEL-A-mjp-1","","Belgrave","City (Flinders Street) - Belgrave","2","0072CE","FFFFFF"
"2-BEL-B-mjp-1","","Belgrave","City (Flinders Street) - Belgrave","2","0072CE","FFFFFF"
"2-BEL-C-mjp-1","","Belgrave","City (Flinders Street) - Belgrave","2","0072CE","FFFFFF"
"2-BEL-D-mjp-1","","Belgrave","City (Flinders Street) - Belgrave","2","0072CE","FFFFFF"
"2-BEL-E-mjp-1","","Belgrave","City (Flinders Street) - Belgrave","2","0072CE","FFFFFF"
"2-BEL-F-mjp-1","","Belgrave","City (Flinders Street) - Belgrave","2","0072CE","FFFFFF"
"2-CRB-A-mjp-1","","Cranbourne","City (Flinders Street) - Cranbourne","2","0072CE","FFFFFF"
"2-CRB-B-mjp-1","","Cranbourne","City (Flinders Street) - Cranbourne","2","0072CE","FFFFFF"
"2-CRB-C-mjp-1","","Cranbourne","City (Flinders Street) - Cranbourne","2","0072CE","FFFFFF"
"2-CRB-D-mjp-1","","Cranbourne","City (Flinders Street) - Cranbourne","2","0072CE","FFFFFF"
"2-CRB-E-mjp-1","","Cranbourne","City (Flinders Street) - Cranbourne","2","0072CE","FFFFFF"
"2-CRB-F-mjp-1","","Cranbourne","City (Flinders Street) - Cranbourne","2","0072CE","FFFFFF"
"2-FKN-B-mjp-1","","Frankston","City (Flinders Street) - Frankston","2","0072CE","FFFFFF"
"2-FKN-C-mjp-1","","Frankston","City (Flinders Street) - Frankston","2","0072CE","FFFFFF"
"2-FKN-D-mjp-1","","Frankston","City (Flinders Street) - Frankston","2","0072CE","FFFFFF"
"2-FKN-E-mjp-1","","Frankston","City (Flinders Street) - Frankston","2","0072CE","FFFFFF"
"2-FKN-F-mjp-1","","Frankston","City (Flinders Street) - Frankston","2","0072CE","FFFFFF"
"2-FKN-G-mjp-1","","Frankston","City (Flinders Street) - Frankston","2","0072CE","FFFFFF"
"2-FKN-H-mjp-1","","Frankston","City (Flinders Street) - Frankston","2","0072CE","FFFFFF"
"2-FKN-I-mjp-1","","Frankston","City (Flinders Street) - Frankston","2","0072CE","FFFFFF"
"2-FKN-J-mjp-1","","Frankston","City (Flinders Street) - Frankston","2","0072CE","FFFFFF"
"2-GLW-A-mjp-1","","Glen Waverley","City (Flinders Street) - Glen Waverley","2","0072CE","FFFFFF"
"2-GLW-B-mjp-1","","Glen Waverley","City (Flinders Street) - Glen Waverley","2","0072CE","FFFFFF"
"2-GLW-C-mjp-1","","Glen Waverley","City (Flinders Street) - Glen Waverley","2","0072CE","FFFFFF"
"2-GLW-D-mjp-1","","Glen Waverley","City (Flinders Street) - Glen Waverley","2","0072CE","FFFFFF"
"2-GLW-E-mjp-1","","Glen Waverley","City (Flinders Street) - Glen Waverley","2","0072CE","FFFFFF"
"2-GLW-F-mjp-1","","Glen Waverley","City (Flinders Street) - Glen Waverley","2","0072CE","FFFFFF"
"2-GLW-G-mjp-1","","Glen Waverley","City (Flinders Street) - Glen Waverley","2","0072CE","FFFFFF"
"2-HBG-B-mjp-1","","Hurstbridge","City (Flinders Street) - Hurstbridge","2","0072CE","FFFFFF"
"2-HBG-C-mjp-1","","Hurstbridge","City (Flinders Street) - Hurstbridge","2","0072CE","FFFFFF"
"2-HBG-D-mjp-1","","Hurstbridge","City (Flinders Street) - Hurstbridge","2","0072CE","FFFFFF"
"2-HBG-E-mjp-1","","Hurstbridge","City (Flinders Street) - Hurstbridge","2","0072CE","FFFFFF"
"2-HBG-F-mjp-1","","Hurstbridge","City (Flinders Street) - Hurstbridge","2","0072CE","FFFFFF"
"2-HBG-G-mjp-1","","Hurstbridge","City (Flinders Street) - Hurstbridge","2","0072CE","FFFFFF"
"2-HBG-H-mjp-1","","Hurstbridge","City (Flinders Street) - Hurstbridge","2","0072CE","FFFFFF"
"2-HBG-I-mjp-1","","Hurstbridge","City (Flinders Street) - Hurstbridge","2","0072CE","FFFFFF"
"2-LIL-A-mjp-1","","Lilydale","City (Flinders Street) - Lilydale","2","0072CE","FFFFFF"
"2-LIL-B-mjp-1","","Lilydale","City (Flinders Street) - Lilydale","2","0072CE","FFFFFF"
"2-LIL-C-mjp-1","","Lilydale","City (Flinders Street) - Lilydale","2","0072CE","FFFFFF"
"2-LIL-D-mjp-1","","Lilydale","City (Flinders Street) - Lilydale","2","0072CE","FFFFFF"
"2-LIL-E-mjp-1","","Lilydale","City (Flinders Street) - Lilydale","2","0072CE","FFFFFF"
