route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"2-ain-C-mjp-1","T2","1838.T2.2-ain-C-mjp-1.8.R","2-ain-C-mjp-1.8.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","UJ","1839.UJ.2-ain-C-mjp-1.8.R","2-ain-C-mjp-1.8.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","T2","1840.T2.2-ain-C-mjp-1.2.H","2-ain-C-mjp-1.2.H","Flinders Street","0"
"2-ain-C-mjp-1","UJ","1841.UJ.2-ain-C-mjp-1.2.H","2-ain-C-mjp-1.2.H","Flinders Street","0"
"2-ain-C-mjp-1","T2","1842.T2.2-ain-C-mjp-1.8.R","2-ain-C-mjp-1.8.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","UJ","1843.UJ.2-ain-C-mjp-1.8.R","2-ain-C-mjp-1.8.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","T2","1844.T2.2-ain-C-mjp-1.2.H","2-ain-C-mjp-1.2.H","Flinders Street","0"
"2-ain-C-mjp-1","UJ","1845.UJ.2-ain-C-mjp-1.2.H","2-ain-C-mjp-1.2.H","Flinders Street","0"
"2-ain-C-mjp-1","T2","1846.T2.2-ain-C-mjp-1.8.R","2-ain-C-mjp-1.8.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","UJ","1847.UJ.2-ain-C-mjp-1.8.R","2-ain-C-mjp-1.8.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","T2","1848.T2.2-ain-C-mjp-1.2.H","2-ain-C-mjp-1.2.H","Flinders Street","0"
"2-ain-C-mjp-1","UJ","1849.UJ.2-ain-C-mjp-1.2.H","2-ain-C-mjp-1.2.H","Flinders Street","0"
"2-ain-C-mjp-1","T2","1850.T2.2-ain-C-mjp-1.9.R","2-ain-C-mjp-1.9.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","UJ","1851.UJ.2-ain-C-mjp-1.8.R","2-ain-C-mjp-1.8.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","T2","1852.T2.2-ain-C-mjp-1.3.H","2-ain-C-mjp-1.3.H","Flinders Street","0"
"2-ain-C-mjp-1","UJ","1853.UJ.2-ain-C-mjp-1.2.H","2-ain-C-mjp-1.2.H","Flinders Street","0"
"2-ain-C-mjp-1","T2","1854.T2.2-ain-C-mjp-1.9.R","2-ain-C-mjp-1.9.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","UJ","1855.UJ.2-ain-C-mjp-1.8.R","2-ain-C-mjp-1.8.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","T2","1856.T2.2-ain-C-mjp-1.3.H","2-ain-C-mjp-1.3.H","Flinders Street","0"
"2-ain-C-mjp-1","UJ","1857.UJ.2-ain-C-mjp-1.2.H","2-ain-C-mjp-1.2.H","Flinders Street","0"
"2-ain-C-mjp-1","T2","1858.T2.2-ain-C-mjp-1.9.R","2-ain-C-mjp-1.9.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","UJ","1859.UJ.2-ain-C-mjp-1.8.R","2-ain-C-mjp-1.8.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","T2","1860.T2.2-ain-C-mjp-1.3.H","2-ain-C-mjp-1.3.H","Flinders Street","0"
"2-ain-C-mjp-1","UJ","1861.UJ.2-ain-C-mjp-1.2.H","2-ain-C-mjp-1.2.H","Flinders Street","0"
"2-ain-C-mjp-1","T2","1862.T2.2-ain-C-mjp-1.9.R","2-ain-C-mjp-1.9.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","UJ","1863.UJ.2-ain-C-mjp-1.8.R","2-ain-C-mjp-1.8.R","Showgrounds/Flemington","1"
"2-ain-C-mjp-1","T2","1864.T2.2-ain-C-mjp-1.4.H","2-ain-C-mjp-1.4.H","Flinders Street","0"
